Date,Close
1/2/2018 16:00,61.09
1/3/2018 16:00,61.56
1/4/2018 16:00,62.33
1/5/2018 16:00,62.75
1/8/2018 16:00,62.04
1/9/2018 16:00,62.26
1/10/2018 16:00,63.12
1/11/2018 16:00,63.01
1/12/2018 16:00,62.55
1/16/2018 16:00,62.5
1/17/2018 16:00,63.88
1/18/2018 16:00,63.95
1/19/2018 16:00,64.22
1/22/2018 16:00,64.73
1/23/2018 16:00,64.49
1/24/2018 16:00,65.48
1/25/2018 16:00,65.65
1/26/2018 16:00,65.93
1/29/2018 16:00,65.82
1/30/2018 16:00,65.28
1/31/2018 16:00,65.78
2/1/2018 16:00,65.51
2/2/2018 16:00,64.07
2/5/2018 16:00,58.16
2/6/2018 16:00,57.28
2/7/2018 16:00,57.54
2/8/2018 16:00,55.4
2/9/2018 16:00,56.13
2/12/2018 16:00,56.5
2/13/2018 16:00,58
2/14/2018 16:00,59.55
2/15/2018 16:00,60.02
2/16/2018 16:00,59.95
2/20/2018 16:00,59.95
2/21/2018 16:00,59.73
2/22/2018 16:00,58.81
2/23/2018 16:00,59.17
2/26/2018 16:00,59.97
2/27/2018 16:00,59.21
2/28/2018 16:00,58.41
3/1/2018 16:00,57.31
3/2/2018 16:00,57.41
3/5/2018 16:00,57.59
3/6/2018 16:00,57.07
3/7/2018 16:00,56.6
3/8/2018 16:00,56.72
3/9/2018 16:00,58.23
3/12/2018 16:00,58.02
3/13/2018 16:00,57.56
3/14/2018 16:00,56.63
3/15/2018 16:00,56.83
3/16/2018 16:00,55.9
3/19/2018 16:00,55.48
3/20/2018 16:00,54.9
3/21/2018 16:00,54.79
3/22/2018 16:00,52.53
3/23/2018 16:00,50.98
3/26/2018 16:00,52.29
3/27/2018 16:00,51.1
3/28/2018 16:00,51.48
3/29/2018 16:00,52.41
4/2/2018 16:00,51.35
4/3/2018 16:00,52.08
4/4/2018 16:00,52.91
4/5/2018 16:00,53.26
4/6/2018 16:00,52.23
4/9/2018 16:00,52.25
4/10/2018 16:00,52.62
4/11/2018 16:00,51.93
4/12/2018 16:00,52.7
4/13/2018 16:00,50.89
4/16/2018 16:00,50.8
4/17/2018 16:00,50.57
4/18/2018 16:00,50.39
4/19/2018 16:00,51.54
4/20/2018 16:00,52.56
4/23/2018 16:00,52.61
4/24/2018 16:00,52.51
4/25/2018 16:00,53.11
4/26/2018 16:00,52.44
4/27/2018 16:00,52.36
4/30/2018 16:00,51.96
5/1/2018 16:00,52.56
5/2/2018 16:00,52.19
5/3/2018 16:00,51.54
5/4/2018 16:00,52.41
5/7/2018 16:00,52.66
5/8/2018 16:00,53.19
5/9/2018 16:00,53.76
5/10/2018 16:00,54.65
5/11/2018 16:00,54.45
5/14/2018 16:00,54.48
5/15/2018 16:00,54.75
5/16/2018 16:00,55.04
5/17/2018 16:00,54.22
5/18/2018 16:00,53.7
5/21/2018 16:00,54.54
5/22/2018 16:00,55.26
5/23/2018 16:00,56.18
5/24/2018 16:00,54.67
5/25/2018 16:00,54.9
5/29/2018 16:00,52.95
5/30/2018 16:00,54.23
5/31/2018 16:00,53.99
6/1/2018 16:00,54.69
6/4/2018 16:00,54.83
6/5/2018 16:00,54.5
6/6/2018 16:00,55.58
6/7/2018 16:00,55.63
6/8/2018 16:00,55.68
6/11/2018 16:00,55.51
6/12/2018 16:00,55.38
6/13/2018 16:00,55.16
6/14/2018 16:00,54.74
6/15/2018 16:00,54.98
6/18/2018 16:00,55.08
6/19/2018 16:00,55.08
6/20/2018 16:00,54.48
6/21/2018 16:00,54.37
6/22/2018 16:00,53.94
6/25/2018 16:00,53.96
6/26/2018 16:00,53.43
6/27/2018 16:00,53.28
6/28/2018 16:00,53.63
6/29/2018 16:00,55.44
7/2/2018 16:00,56.32
7/3/2018 13:00,55.56
7/5/2018 16:00,55.24
7/6/2018 16:00,55.89
7/9/2018 16:00,56.77
7/10/2018 16:00,56.62
7/11/2018 16:00,56.07
7/12/2018 16:00,56.03
7/13/2018 16:00,55.36
7/16/2018 16:00,56.99
7/17/2018 16:00,56.56
7/18/2018 16:00,56.57
7/19/2018 16:00,56.33
7/20/2018 16:00,56.41
7/23/2018 16:00,58
7/24/2018 16:00,58.35
7/25/2018 16:00,58.23
7/26/2018 16:00,58.31
7/27/2018 16:00,58.63
7/30/2018 16:00,58.49
7/31/2018 16:00,57.29
8/1/2018 16:00,57.65
8/2/2018 16:00,58.29
8/3/2018 16:00,58.83
8/6/2018 16:00,58.89
8/7/2018 16:00,58.82
8/8/2018 16:00,59.19
8/9/2018 16:00,58.44
8/10/2018 16:00,58.05
8/13/2018 16:00,57.61
8/14/2018 16:00,58.07
8/15/2018 16:00,57.99
8/16/2018 16:00,58.66
8/17/2018 16:00,58.86
8/20/2018 16:00,59.03
8/21/2018 16:00,58.96
8/22/2018 16:00,59.17
8/23/2018 16:00,58.62
8/24/2018 16:00,58.69
8/27/2018 16:00,59.1
8/28/2018 16:00,59.07
8/29/2018 16:00,58.96
8/30/2018 16:00,58.46
8/31/2018 16:00,58.48
9/4/2018 16:00,58.8
9/5/2018 16:00,58.95
9/6/2018 16:00,57.93
9/7/2018 16:00,57.4
9/10/2018 16:00,57.46
9/11/2018 16:00,57.38
9/12/2018 16:00,55.94
9/13/2018 16:00,55
9/14/2018 16:00,54.73
9/17/2018 16:00,54.31
9/18/2018 16:00,54.5
9/19/2018 16:00,55.22
9/20/2018 16:00,55.55
9/21/2018 16:00,54.99
9/24/2018 16:00,54.26
9/25/2018 16:00,54.23
9/26/2018 16:00,53.16
9/27/2018 16:00,52.82
9/28/2018 16:00,52.56
10/1/2018 16:00,52.25
10/2/2018 16:00,52.13
10/3/2018 16:00,52.65
10/4/2018 16:00,53.51
10/5/2018 16:00,53.19
10/8/2018 16:00,53.67
10/9/2018 16:00,53.53
10/10/2018 16:00,52.43
10/11/2018 16:00,51.44
10/12/2018 16:00,52.11
10/15/2018 16:00,53.24
10/16/2018 16:00,53.73
10/17/2018 16:00,54.46
10/18/2018 16:00,53.1
10/19/2018 16:00,52.89
10/22/2018 16:00,51.65
10/23/2018 16:00,51.56
10/24/2018 16:00,50.19
10/25/2018 16:00,51.86
10/26/2018 16:00,51.25
10/29/2018 16:00,52.23
10/30/2018 16:00,52.69
10/31/2018 16:00,53.23
11/1/2018 16:00,53.56
11/2/2018 16:00,53.61
11/5/2018 16:00,53.66
11/6/2018 16:00,53.55
11/7/2018 16:00,53.58
11/8/2018 16:00,53.16
11/9/2018 16:00,53.04
11/12/2018 16:00,52.35
11/13/2018 16:00,52.74
11/14/2018 16:00,52.15
11/15/2018 16:00,52.82
11/16/2018 16:00,52.94
11/19/2018 16:00,53.32
11/20/2018 16:00,52.54
11/21/2018 16:00,52.43
11/23/2018 13:00,51.83
11/26/2018 16:00,52.88
11/27/2018 16:00,53.19
11/28/2018 16:00,54.35
11/29/2018 16:00,54.04
11/30/2018 16:00,54.28
12/3/2018 16:00,54.24
12/4/2018 16:00,51.78
12/6/2018 16:00,51.09
12/7/2018 16:00,50.26
12/10/2018 16:00,48.8
12/11/2018 16:00,47.76
12/12/2018 16:00,47.74
12/13/2018 16:00,47.03
12/14/2018 16:00,46.54
12/17/2018 16:00,46.61
12/18/2018 16:00,46.52
12/19/2018 16:00,45.67
12/20/2018 16:00,46.04
12/21/2018 16:00,45.12
12/24/2018 13:00,43.6
12/26/2018 16:00,45.59
12/27/2018 16:00,45.53
12/28/2018 16:00,45.78
